ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
1320,Hart County High School,673,High School,706.376.5461,1012.0,63.0,11.0,22.0,30.0,35.0,2.0
1321,Hartwell Elementary School,673,Elementary School,706.376.4425,474.0,36.0,6.0,44.0,33.0,11.0,6.0
1322,Heard County Middle School,674,Middle School,706.675.9247,481.0,30.0,3.0,37.0,23.0,33.0,3.0
1323,Heard Elementary School,674,Elementary School,706.675.3687,603.0,47.0,0.0,30.0,36.0,30.0,4.0
1324,Heard County High School,674,High School,706.675.3656,593.0,40.0,3.0,40.0,35.0,15.0,8.0
1325,Centralhatchee Elementary School,674,Elementary School,770.854.4002,174.0,18.0,0.0,28.0,33.0,28.0,11.0
1326,Ephesus Elementary School,674,Elementary School,770.854.4400,134.0,17.0,0.0,35.0,35.0,24.0,6.0
1327,Ola Elementary School,675,Elementary School,770.957.5777,982.0,60.0,3.0,28.0,35.0,33.0,0.0
1328,Union Grove High,675,High School,678.583.8502,1547.0,88.0,9.0,26.0,31.0,33.0,1.0
1329,Luella High School,675,High School,770.898.9822,1244.0,74.0,3.0,45.0,31.0,18.0,4.0
1330,Dutchtown High,675,High School,770.515.7510,1659.0,82.0,5.0,35.0,44.0,12.0,4.0
1331,Luella Elementary School,675,Elementary School,770.288.2035,661.0,41.0,5.0,46.0,34.0,15.0,0.0
1332,Dutchtown Elementary School,675,Elementary School,770.471.0844,773.0,51.0,8.0,41.0,31.0,14.0,6.0
1333,Woodland Elementary School,675,Elementary School,770.506.6391,661.0,46.0,4.0,50.0,28.0,17.0,0.0
1334,Cotton Indian Elementary School,675,Elementary School,770.474.9983,663.0,45.0,11.0,40.0,29.0,20.0,0.0
1335,Wesley Lakes Elementary School,675,Elementary School,770.914.1889,766.0,49.0,2.0,37.0,43.0,16.0,2.0
1336,Pate's Creek Elementary School,675,Elementary School,770.389.8819,553.0,38.0,3.0,32.0,40.0,21.0,5.0
1337,Pleasant Grove Elementary School,675,Elementary School,770.898.0176,496.0,38.0,13.0,34.0,32.0,21.0,0.0
1338,Mount Carmel Elementary School,675,Elementary School,770.897.9799,590.0,43.0,5.0,21.0,54.0,14.0,7.0
1339,East Lake Elementary,675,Elementary School,678.583.8947,650.0,44.0,2.0,18.0,36.0,34.0,9.0
1340,Dutchtown Middle School,675,Middle School,770.515.7500,1173.0,61.0,5.0,49.0,34.0,12.0,0.0
1341,Timber Ridge Elementary School,675,Elementary School,770.288.3237,606.0,39.0,3.0,31.0,39.0,26.0,3.0
1342,Walnut Creek Elementary,675,Elementary School,770.288.8561,636.0,46.0,4.0,48.0,26.0,17.0,4.0
1343,Bethlehem Elementary School,675,Elementary School,770.288.8571,447.0,31.0,7.0,55.0,23.0,16.0,0.0
1344,Rocky Creek Elementary,675,Elementary School,770.707.1469,679.0,43.0,0.0,44.0,42.0,14.0,0.0
1345,Locust Grove Middle,675,Middle School,770.957.6055,1039.0,51.0,8.0,37.0,31.0,24.0,0.0
1346,Locust Grove High,675,High School,770.898.1452,1436.0,79.0,0.0,38.0,37.0,22.0,4.0
1347,Hampton Middle School,675,Middle School,770.707.2130,949.0,52.0,15.0,50.0,25.0,10.0,0.0
1348,Oakland Elementary School,675,Elementary School,770.954.1901,685.0,46.0,2.0,52.0,26.0,17.0,2.0
1349,Austin Road Elementary School,675,Elementary School,770.389.6556,339.0,24.0,0.0,46.0,46.0,8.0,0.0
1350,Stockbridge High School,675,High School,770.474.8747,1485.0,86.0,5.0,35.0,42.0,15.0,4.0
1351,Hickory Flat Elementary School,675,Elementary School,770.898.0107,657.0,44.0,2.0,48.0,27.0,16.0,7.0
1352,Unity Grove Elementary School,675,Elementary School,770.898.8886,781.0,50.0,2.0,16.0,42.0,36.0,4.0
1353,Ola High School,675,High School,770.288.3222,1656.0,92.0,0.0,41.0,37.0,17.0,4.0
1354,Woodland Middle School,675,Middle School,770.389.2774,803.0,44.0,5.0,30.0,50.0,11.0,5.0
1355,Hampton High School,675,High School,770.707.2130,1197.0,67.0,8.0,52.0,28.0,10.0,2.0
1356,Eagle's Landing High School,675,High School,770.954.9515,1438.0,83.0,8.0,52.0,21.0,16.0,4.0
1357,Eagle's Landing Middle School,675,Middle School,770.914.8189,1070.0,57.0,0.0,39.0,33.0,26.0,2.0
1358,Austin Road Middle School,675,Middle School,770.507.5407,651.0,34.0,3.0,32.0,50.0,15.0,0.0
1359,Red Oak Elementary School,675,Elementary School,770.389.1464,746.0,50.0,12.0,26.0,32.0,26.0,4.0
1360,New Hope Elementary,675,Elementary School,770.898.7362,708.0,48.0,4.0,54.0,29.0,8.0,4.0
1361,Woodland High School,675,High School,770.389.2784,1482.0,86.0,5.0,38.0,34.0,20.0,4.0
1362,Tussahaw Elementary,675,Elementary School,770.957.0164,798.0,53.0,4.0,38.0,43.0,13.0,2.0
1363,Flippen Elementary School,675,Elementary School,770.954.3522,653.0,42.0,10.0,41.0,21.0,26.0,2.0
1364,Ola Middle School,675,Middle School,770.288.2108,1255.0,67.0,5.0,39.0,40.0,16.0,0.0
1365,Rock Spring Elementary,675,Elementary School,770.957.6851,800.0,49.0,6.0,29.0,39.0,20.0,6.0
1366,Luella Middle School,675,Middle School,678.583.8919,936.0,47.0,11.0,40.0,21.0,17.0,11.0
1367,Union Grove Middle,675,Middle School,678.583.8978,1040.0,57.0,7.0,25.0,40.0,26.0,2.0
1368,EXCEL Academy,675,High School,770.957.4101,131.0,24.0,0.0,33.0,46.0,21.0,0.0
1369,Fairview Elementary School,675,Elementary School,770.474.8265,536.0,38.0,5.0,47.0,29.0,13.0,5.0
1370,Hampton Elementary School,675,Elementary School,770.946.4345,356.0,31.0,7.0,42.0,32.0,13.0,7.0
1371,Smith-Barnes Elementary School,675,Elementary School,770.474.4066,313.0,24.0,4.0,29.0,25.0,21.0,21.0
1372,McDonough High School,675,High School,470.615.3450,1070.0,152.0,3.0,39.0,40.0,14.0,5.0
1373,Stockbridge Elementary School,675,Elementary School,770.474.8743,539.0,41.0,12.0,42.0,24.0,20.0,2.0
1374,McDonough Middle School,675,Middle School,470.615.3460,776.0,44.0,14.0,46.0,25.0,16.0,0.0
1375,Locust Grove Elementary School,675,Elementary School,770.957.5416,407.0,31.0,10.0,55.0,29.0,7.0,0.0
1376,Stockbridge Middle School,675,Middle School,770.474.5710,720.0,39.0,5.0,44.0,39.0,13.0,0.0
1377,Eagle Springs Elementary,676,Elementary School,478.953.0450,727.0,52.0,6.0,42.0,33.0,17.0,2.0
1378,C. B. Watson Primary School,676,Elementary School,478.929.6361,434.0,42.0,0.0,52.0,29.0,17.0,2.0
1379,Lake Joy Primary School,676,Elementary School,478.953.0465,626.0,46.0,9.0,30.0,20.0,41.0,0.0
1380,David A. Perdue Primary,676,Elementary School,478.218.7500,628.0,46.0,4.0,39.0,28.0,24.0,4.0
1381,Huntington Middle School,676,Middle School,478.542.2240,818.0,58.0,7.0,29.0,35.0,29.0,0.0
1382,Mossy Creek Middle School,676,Middle School,478.988.6171,734.0,46.0,7.0,24.0,46.0,24.0,0.0
1383,Veterans High School,676,High School,478.218.7537,1659.0,89.0,3.0,33.0,48.0,15.0,1.0
1384,Houston County WIN Academy,676,High School,478.929.7828,137.0,26.0,0.0,39.0,42.0,15.0,4.0
1385,Langston Road Elementary School,676,Elementary School,478.988.6160,739.0,47.0,4.0,26.0,43.0,23.0,4.0
1386,Pearl Stephens Elementary School,676,Elementary School,478.929.6360,446.0,33.0,6.0,46.0,27.0,18.0,3.0
1387,Northside Elementary School,676,Elementary School,478.929.7816,518.0,38.0,5.0,45.0,26.0,18.0,5.0
1388,Houston County High School,676,High School,478.988.6340,1905.0,104.0,2.0,28.0,48.0,19.0,3.0
1389,David A. Perdue Elementary School,676,Elementary School,478.988.6350,661.0,38.0,0.0,26.0,61.0,13.0,0.0
1390,Quail Run Elementary School,676,Elementary School,478.953.0415,686.0,48.0,6.0,25.0,42.0,21.0,6.0
1391,Feagin Mill Middle School,676,Middle School,478.953.0430,935.0,60.0,5.0,38.0,33.0,22.0,2.0
1392,Matthew Arthur Elementary School,676,Elementary School,478.988.6170,737.0,51.0,2.0,43.0,29.0,26.0,0.0
1393,Perry Middle School,676,Middle School,478.988.6285,864.0,58.0,0.0,19.0,52.0,29.0,0.0
1394,Thomson Middle School,676,Middle School,478.953.0488,779.0,53.0,4.0,25.0,43.0,25.0,4.0
1395,Lake Joy Elementary School,676,Elementary School,478.971.2712,620.0,34.0,6.0,24.0,47.0,21.0,3.0
1396,Bonaire Middle School,676,Middle School,478.929.6236,1041.0,59.0,3.0,22.0,39.0,36.0,0.0
1397,Hilltop Elementary School,676,Elementary School,478.929.6114,651.0,41.0,2.0,44.0,32.0,20.0,2.0
1398,Bonaire Elementary School,676,Elementary School,478.929.7826,811.0,51.0,6.0,28.0,49.0,16.0,2.0
1399,Northside Middle School,676,Middle School,478.929.7845,899.0,58.0,0.0,24.0,50.0,22.0,3.0
1400,Perry High School,676,High School,478.988.6297,1367.0,72.0,0.0,28.0,39.0,28.0,6.0
1401,Centerville Elementary School,676,Elementary School,478.953.0400,584.0,39.0,3.0,39.0,41.0,18.0,0.0
1402,Northside High School,676,High School,478.929.7858,1827.0,104.0,2.0,23.0,47.0,26.0,2.0
1403,Morningside Elementary School,676,Elementary School,912.988.6261,444.0,31.0,0.0,42.0,32.0,26.0,0.0
1404,Westside Elementary School,676,Elementary School,478.929.7820,502.0,39.0,3.0,49.0,36.0,13.0,0.0
1405,Parkwood Elementary School,676,Elementary School,478.929.7822,623.0,45.0,4.0,56.0,22.0,16.0,2.0
1406,Tucker Elementary School,676,Elementary School,478.988.6278,442.0,33.0,9.0,49.0,27.0,15.0,0.0
1407,Kings Chapel Elementary School,676,Elementary School,478.988.6273,500.0,33.0,6.0,30.0,27.0,30.0,6.0
1408,Lindsey Elementary School,676,Elementary School,478.929.7818,227.0,25.0,0.0,48.0,24.0,28.0,0.0
1409,Russell Elementary School,676,Elementary School,478.929.7830,635.0,49.0,2.0,39.0,33.0,18.0,8.0
1410,Warner Robins High School,676,High School,478.929.7877,1612.0,95.0,5.0,26.0,40.0,26.0,2.0
1411,Miller Elementary School,676,Elementary School,478.929.7814,491.0,35.0,6.0,40.0,37.0,14.0,3.0
1412,Shirley Hills Elementary School,676,Elementary School,478.929.7824,496.0,38.0,3.0,45.0,40.0,11.0,3.0
1413,Warner Robins Middle School,676,Middle School,478.929.7832,835.0,56.0,2.0,34.0,43.0,18.0,4.0
1414,Irwin County Middle School,677,Middle School,229.468.5517,417.0,33.0,3.0,39.0,27.0,30.0,0.0
1415,Irwin County Elementary School,677,Elementary School,229.468.9476,736.0,59.0,5.0,32.0,36.0,27.0,0.0
1416,Irwin County High School,677,High School,229.468.9421,474.0,41.0,2.0,22.0,42.0,34.0,0.0
1417,West Jackson Elementary School,678,Elementary School,706.654.2044,880.0,61.0,0.0,33.0,34.0,31.0,2.0
1418,East Jackson Elementary School,678,Elementary School,706.336.7900,635.0,50.0,2.0,44.0,36.0,16.0,2.0
1419,East Jackson Comprehensive High School,678,High School,706.336.8900,1250.0,76.0,1.0,33.0,41.0,16.0,9.0
1420,Jackson County Comprehensive High School,678,High School,706.367.5003,1228.0,70.0,7.0,27.0,50.0,13.0,3.0
1421,East Jackson Middle School,678,Middle School,706.335.2083,555.0,40.0,3.0,38.0,45.0,15.0,0.0
1422,Gum Springs Elementary School,678,Elementary School,706.654.5580,796.0,56.0,4.0,32.0,39.0,23.0,2.0
1423,West Jackson Middle School,678,Middle School,706.654.2775,1084.0,69.0,0.0,30.0,48.0,19.0,3.0
1424,Maysville Elementary School,678,Elementary School,706.652.2241,317.0,31.0,7.0,23.0,39.0,26.0,7.0
1425,North Jackson Elementary School,678,Elementary School,706.693.2246,341.0,27.0,4.0,37.0,26.0,30.0,4.0
1426,South Jackson Elementary School,678,Elementary School,706.208.3552,535.0,49.0,10.0,31.0,45.0,8.0,6.0
1427,Washington Park Elementary School,679,Elementary School,706.468.6284,530.0,36.0,6.0,42.0,33.0,14.0,6.0
1428,Jasper County High School,679,High School,706.468.5026,670.0,50.0,2.0,24.0,42.0,18.0,12.0
1429,Jasper County Primary School,679,Elementary School,706.468.4968,507.0,42.0,0.0,29.0,31.0,29.0,12.0
1430,Jasper County Middle School,679,Middle School,706.468.2227,555.0,37.0,0.0,41.0,24.0,22.0,14.0
1431,Jeff Davis Primary School,680,Elementary School,912.375.6720,695.0,51.0,8.0,22.0,29.0,26.0,16.0
1432,Jeff Davis Middle School,680,Middle School,912.375.6730,682.0,44.0,9.0,39.0,23.0,25.0,5.0
1433,Jeff Davis Elementary School,680,Elementary School,912.375.6730,679.0,45.0,2.0,29.0,29.0,31.0,9.0
1434,Jeff Davis High School,680,High School,912.375.6760,863.0,54.0,2.0,30.0,28.0,28.0,13.0
1435,Jefferson County High School,681,High School,478.625.9991,781.0,55.0,11.0,36.0,35.0,16.0,2.0
1437,Carver Elementary School,681,Elementary School,478.252.5762,190.0,18.0,17.0,11.0,44.0,28.0,0.0
1438,Louisville Academy,681,Elementary School,478.625.7794,414.0,35.0,3.0,29.0,37.0,29.0,3.0
1439,Wrens Elementary School,681,Elementary School,706.547.2063,450.0,38.0,8.0,47.0,29.0,13.0,3.0
1440,Jenkins County Middle School,682,Middle School,478.982.1063,270.0,20.0,5.0,25.0,25.0,40.0,5.0
1441,Jenkins County High School,682,High School,478.982.4791,305.0,31.0,0.0,23.0,29.0,42.0,7.0
1442,Jenkins County Elementary School,682,Elementary School,478.982.5503,518.0,46.0,2.0,30.0,17.0,39.0,11.0
1443,Johnson County Middle School,683,Middle School,478.864.2222,270.0,22.0,0.0,36.0,23.0,36.0,5.0
1444,Johnson County Elementary School,683,Elementary School,478.864.3446,455.0,39.0,3.0,44.0,31.0,23.0,0.0
1445,Johnson County High School,683,High School,478.864.2222,353.0,27.0,0.0,33.0,22.0,41.0,4.0
1446,Clifton Ridge Middle School,684,Middle School,478.743.5182,600.0,42.0,2.0,31.0,36.0,26.0,5.0
1447,Mattie Wells Elementary School,684,Elementary School,478.742.5959,611.0,50.0,4.0,28.0,26.0,36.0,6.0
1448,Gray Station Middle School,684,Middle School,478.986.2090,664.0,43.0,2.0,28.0,33.0,30.0,7.0
1449,Turner Woods Elementary School,684,Elementary School,478.986.2222,556.0,40.0,5.0,25.0,35.0,23.0,13.0
1450,Jones County High School,684,High School,478.986.5444,1548.0,99.0,1.0,25.0,37.0,30.0,6.0
1451,Dames Ferry Elementary School,684,Elementary School,478.986.2023,535.0,45.0,4.0,24.0,33.0,33.0,4.0
1452,Gray Elementary School,684,Elementary School,478.986.6295,522.0,40.0,3.0,28.0,40.0,23.0,8.0
1453,Lamar County Elementary School,685,Elementary School,770.358.5556,597.0,38.0,5.0,37.0,37.0,18.0,3.0
1454,Lamar County High School,685,High School,770.358.8641,751.0,48.0,8.0,31.0,44.0,17.0,0.0
1455,Lamar County Middle School,685,Middle School,770.358.8652,608.0,39.0,5.0,28.0,49.0,15.0,3.0
1456,Lamar County Primary School,685,Elementary School,770.358.8661,580.0,47.0,4.0,43.0,30.0,21.0,2.0
1457,Lanier County Middle School,686,Middle School,229.482.8247,373.0,28.0,7.0,39.0,29.0,14.0,11.0
1458,Lanier County Elementary School,686,Elementary School,229.482.3870,458.0,38.0,8.0,32.0,24.0,24.0,13.0
1459,Lanier County High School,686,High School,229.482.3868,435.0,32.0,0.0,34.0,34.0,25.0,6.0
1460,Lanier County Primary School,686,Elementary School,229.482.3580,370.0,35.0,9.0,31.0,17.0,34.0,9.0
1461,Southwest Laurens Elementary,687,Elementary School,478.984.4276,926.0,65.0,0.0,26.0,37.0,35.0,2.0
1462,East Laurens Primary School,687,Elementary School,478.272.4440,547.0,43.0,5.0,26.0,42.0,21.0,7.0
1463,East Laurens Elementary School,687,Elementary School,478.272.8612,534.0,37.0,3.0,32.0,41.0,24.0,0.0
1464,West Laurens High School,687,High School,478.875.1000,1214.0,80.0,1.0,24.0,43.0,28.0,5.0
1465,East Laurens High School,687,High School,478.272.3144,622.0,46.0,4.0,30.0,35.0,24.0,7.0
1466,Northwest Laurens Elementary,687,Elementary School,478.676.3475,876.0,57.0,0.0,18.0,47.0,26.0,9.0
1467,East Laurens Middle School,687,Middle School,478.272.1201,531.0,45.0,7.0,20.0,38.0,33.0,2.0
1468,West Laurens Middle School,687,Middle School,478.272.8452,1008.0,74.0,1.0,28.0,37.0,34.0,0.0
1469,Lee County Middle School West,688,Middle School,229.903.2140,849.0,56.0,0.0,54.0,30.0,16.0,0.0
1470,Lee County Elementary School,688,Elementary School,229.903.2220,703.0,45.0,0.0,44.0,20.0,29.0,7.0
1471,Lee County Middle School East,688,Middle School,229.903.3500,694.0,45.0,0.0,40.0,36.0,20.0,4.0
1472,Lee County Primary School,688,Elementary School,229.903.2180,703.0,49.0,0.0,35.0,43.0,16.0,6.0
1473,Lee County High School,688,High School,229.903.2260,1353.0,82.0,0.0,37.0,40.0,17.0,6.0
1474,Kinchafoonee Primary School,688,Elementary School,229.903.2200,681.0,59.0,0.0,31.0,34.0,32.0,3.0
1475,Lee High School 9th Grade Campus,688,High School,229.903.3590,499.0,35.0,0.0,37.0,37.0,23.0,3.0
1476,Twin Oaks Elementary,688,Elementary School,229.903.2240,731.0,47.0,0.0,40.0,26.0,26.0,9.0
1477,Waldo Pafford Elementary School,689,Elementary School,912.877.4188,619.0,39.0,3.0,31.0,31.0,36.0,0.0
1478,Midway Middle School,689,Middle School,912.884.6677,770.0,53.0,6.0,36.0,26.0,28.0,4.0
1479,Liberty Elementary School,689,Elementary School,912.884.3326,718.0,56.0,0.0,29.0,46.0,23.0,2.0
1480,Bradwell Institute,689,High School,912.876.6121,1611.0,84.0,2.0,41.0,37.0,18.0,2.0
1481,Button Gwinnett Elementary School,689,Elementary School,912.876.0146,609.0,42.0,0.0,24.0,48.0,26.0,2.0
1482,Lyman Hall Elementary School,689,Elementary School,912.368.3348,648.0,43.0,14.0,51.0,21.0,12.0,2.0
1483,Joseph Martin Elementary School,689,Elementary School,912.368.3114,664.0,46.0,9.0,48.0,28.0,13.0,2.0
1484,Liberty County High School,689,High School,912.876.4316,1127.0,65.0,3.0,37.0,25.0,28.0,8.0
1485,Taylors Creek Elementary School,689,Elementary School,912.369.0378,710.0,45.0,2.0,49.0,36.0,13.0,0.0
1486,Snelson-Golden Middle School,689,Middle School,912.877.3112,724.0,49.0,2.0,55.0,20.0,22.0,0.0
1487,Frank Long Elementary School,689,Elementary School,912.368.3595,625.0,44.0,5.0,36.0,41.0,18.0,0.0
1488,Lewis Frasier Middle School,689,Middle School,912.877.5367,802.0,54.0,2.0,30.0,48.0,17.0,4.0
1489,Lincoln County Middle School,690,Middle School,706.359.3069,257.0,24.0,0.0,33.0,29.0,25.0,13.0
1490,Lincoln County High School,690,High School,706.359.3121,340.0,33.0,3.0,33.0,30.0,21.0,12.0
1491,Lincoln County Elementary School,690,Elementary School,706.359.3449,470.0,37.0,8.0,35.0,30.0,19.0,8.0
1492,Smiley Elementary School,691,Elementary School,912.545.2147,813.0,66.0,12.0,36.0,26.0,21.0,5.0
1493,Long County High School,691,High School,912.545.2135,958.0,55.0,9.0,51.0,24.0,13.0,4.0
1494,Long County Middle School,691,Middle School,912.545.2069,878.0,49.0,2.0,63.0,25.0,10.0,0.0
1495,McClelland Elementary School,691,Elementary School,912.545.7910,933.0,55.0,9.0,49.0,33.0,9.0,0.0
1496,Dewar Elementary,692,Elementary School,229.219.1370,722.0,50.0,2.0,36.0,32.0,26.0,4.0
1497,Westside Elementary School,692,Elementary School,229.245.2289,901.0,59.0,7.0,24.0,42.0,24.0,3.0
1498,Pine Grove Middle School,692,Middle School,229.219.3234,771.0,48.0,4.0,46.0,33.0,15.0,2.0
1499,Moulton-Branch Elementary School,692,Elementary School,229.245.2294,548.0,49.0,4.0,20.0,47.0,25.0,4.0
1500,Hahira Elementary School,692,Elementary School,229.316.8600,737.0,52.0,8.0,27.0,21.0,42.0,2.0
1501,Pine Grove Elementary School,692,Elementary School,229.245.2297,681.0,49.0,4.0,33.0,33.0,31.0,0.0
1502,Clyattville Elementary School,692,Elementary School,229.316.8602,611.0,53.0,4.0,25.0,36.0,34.0,2.0
1503,Lowndes Middle School,692,Middle School,229.245.2280,835.0,62.0,8.0,34.0,31.0,21.0,7.0
1504,Hahira Middle School,692,Middle School,229.316.8601,918.0,56.0,9.0,36.0,23.0,30.0,2.0
1505,Lake Park Elementary School,692,Elementary School,229.316.8603,683.0,50.0,8.0,40.0,22.0,26.0,4.0
1506,Lowndes High School,692,High School,229.245.2260,2866.0,157.0,1.0,31.0,34.0,27.0,6.0
1507,Lumpkin County High School,693,High School,706.864.6186,1128.0,67.0,0.0,30.0,43.0,25.0,2.0
1508,Blackburn Elementary School,693,Elementary School,706.864.8180,743.0,50.0,0.0,40.0,44.0,16.0,0.0
1509,Long Branch Elementary School,693,Elementary School,706.864.5361,460.0,34.0,0.0,35.0,32.0,24.0,9.0
1510,Lumpkin County Middle School,693,Middle School,706.864.6180,932.0,59.0,3.0,44.0,39.0,12.0,2.0
1511,Lumpkin County Elementary School,693,Elementary School,706.864.3254,555.0,40.0,5.0,30.0,40.0,25.0,0.0
1512,Macon County Elementary School,694,Elementary School,478.472.6563,535.0,36.0,14.0,36.0,22.0,19.0,8.0
1513,Macon County Middle School,694,Middle School,478.472.7045,268.0,21.0,19.0,33.0,33.0,14.0,0.0
1514,Macon County High School,694,High School,478.472.8579,407.0,23.0,35.0,35.0,13.0,17.0,0.0
1515,Hull-Sanford Elementary School,695,Elementary School,706.353.7888,535.0,49.0,8.0,39.0,37.0,10.0,6.0
1516,Danielsville Elementary School,695,Elementary School,706.795.2181,441.0,43.0,2.0,19.0,33.0,37.0,9.0
1517,Colbert Elementary School,695,Elementary School,706.788.2341,435.0,39.0,3.0,33.0,26.0,28.0,10.0
1518,Madison County Middle School,695,Middle School,706.783.2400,1132.0,80.0,3.0,30.0,41.0,21.0,5.0
1519,Comer Elementary School,695,Elementary School,706.783.2797,411.0,34.0,0.0,47.0,29.0,24.0,0.0
1520,Ila Elementary School,695,Elementary School,706.789.3445,431.0,35.0,3.0,37.0,29.0,31.0,0.0
1521,Madison County High School,695,High School,706.795.2197,1429.0,98.0,3.0,33.0,36.0,24.0,5.0
1522,L. K. Moss Elementary School,696,Elementary School,229.649.5567,576.0,49.0,0.0,37.0,43.0,20.0,0.0
1523,Marion County Middle/High School,696,High School,229.649.7520,709.0,41.0,0.0,27.0,39.0,22.0,12.0
1524,Thomson-McDuffie Middle School,697,Middle School,706.986.4300,875.0,58.0,9.0,45.0,31.0,14.0,2.0
1525,Norris Elementary School,697,Elementary School,706.986.4600,473.0,33.0,6.0,46.0,27.0,18.0,3.0
1526,Maxwell Elementary School,697,Elementary School,706.986.4800,401.0,39.0,0.0,39.0,31.0,18.0,13.0
1527,Dearing Elementary School,697,Elementary School,706.986.4900,435.0,34.0,0.0,41.0,35.0,18.0,6.0
1528,Thomson High School,697,High School,706.986.4200,1037.0,65.0,6.0,39.0,39.0,15.0,2.0
1529,Thomson Elementary School,697,Elementary School,706.986.4700,441.0,35.0,3.0,43.0,31.0,20.0,3.0
